key,product,phase,formula,M_g_per_mol,electrons_per_mol,half_reaction,E_cathode_V_SHE_pH7,price_usd_per_kg,avoided_gwp_kg_co2e_per_kg,cathode_type,co2_kg_per_kg_product,dsp_route,dsp_recovery,dsp_catholyte_wt_pct,dsp_product_wt_pct,dsp_electricity_kWh_per_kg,dsp_note,realistic_cathode_kinetic_V,realistic_coulombic_efficiency,price_verified,gwp_verified,source
hydrogen,Hydrogen,gas,H2,2.016,2,2 H+ + 2 e- -> H2,-0.414,2.0,11.0,ss_mesh,0.0,gas,0.9,,,2.0,compression to 30 bar + PSA to 99.97 %,0.2,0.8,False,False,"price: US industrial grey H2 gate price 2024, $1.5-2.5/kg; GWP: SMR 9-12 kg/kg (IEA 2019)"
methane,Methane,gas,CH4,16.043,8,CO2 + 8 H+ + 8 e- -> CH4 + 2 H2O,-0.24,0.25,0.8,biocathode_felt,2.744,gas,0.97,,,0.56,biogas-upgrading class: 0.25 kWh/Nm3 raw + 0.15 kWh/Nm3 compression; $3000 per Nm3/h at 250 Nm3/h,0.35,0.8,False,False,"price: US industrial natural gas 2024, ~$3-5/MMBtu; GWP: natural gas supply incl. upstream methane"
carbon_monoxide,Carbon monoxide,gas,CO,28.01,2,CO2 + 2 H+ + 2 e- -> CO + H2O,-0.52,0.6,1.6,gde_catalyst,1.571,gas,0.9,,,0.8,CO/CO2 separation (PSA or cryogenic) and compression,0.5,0.7,False,False,price: merchant CO $0.5-1.0/kg; GWP: CO from syngas / partial oxidation
hydrogen_peroxide,Hydrogen peroxide,liquid,H2O2,34.015,2,O2 + 2 H+ + 2 e- -> H2O2,0.281,1.2,1.46479885222015,gde_carbon,0.0,liquid_evaporation,0.97,1.0,35.0,,vacuum multiple-effect evaporation to 35 % solution,0.35,0.7,True,True,"price: bulk industrial 100 % basis (companion study); GWP: ecoinvent 3.7 market for hydrogen peroxide, without water, in 50% solution state (reference flow = 1 kg H2O2 contained, i.e. 100 % basis)"
formic_acid,Formic acid,liquid,HCOOH,46.025,2,CO2 + 2 H+ + 2 e- -> HCOOH,-0.43,0.65,2.5,gde_catalyst,0.956,liquid_salt_acid,0.95,1.5,30.0,,"formate salt: evaporate to 30 %, acidify with H2SO4, distil to 85 %",0.6,0.6,False,False,price: formic acid 85 % $600-800/t; GWP: methyl formate hydrolysis route ~2.5 kg/kg
acetic_acid,Acetic acid,liquid,CH3COOH,60.052,8,2 CO2 + 8 H+ + 8 e- -> CH3COOH + 2 H2O,-0.28,0.55,1.6,biocathode_felt,1.466,liquid_salt_acid,0.95,1.2,30.0,,"acetate salt from microbial electrosynthesis: evaporate, acidify, distil to glacial",0.4,0.7,False,False,price: acetic acid $500-600/t 2024; GWP: methanol carbonylation ~1.6 kg/kg
methanol,Methanol,liquid,CH3OH,32.042,6,CO2 + 6 H+ + 6 e- -> CH3OH + H2O,-0.38,0.45,0.8,gde_catalyst,1.373,liquid_distillation,0.97,1.0,,,distillation of dilute aqueous methanol to 99.9 %,0.7,0.3,False,False,price: methanol $400-500/t; GWP: natural-gas methanol ~0.7-0.9 kg/kg
ethanol,Ethanol,liquid,C2H5OH,46.068,12,2 CO2 + 12 H+ + 12 e- -> C2H5OH + 3 H2O,-0.31,0.8,1.4,biocathode_felt,1.911,liquid_distillation,0.97,1.0,,,distillation and rectification to 95 %,0.6,0.3,False,False,price: fuel ethanol $0.6-0.9/kg; GWP: ethylene hydration ~1.4 kg/kg
caustic_soda,Caustic soda,liquid,NaOH,39.997,1,Na+ + H2O + e- -> NaOH + 1/2 H2   (cathode at pH 14),-0.828,0.5,1.1,ss_mesh,0.0,liquid_evaporation,0.98,3.0,50.0,,multiple-effect evaporation to 50 % caustic,0.25,0.9,False,False,"price: caustic soda 100 % basis $400-600/t; GWP: chlor-alkali, mass allocation ~1.1 kg/kg"
copper,Copper,solid,Cu,63.546,2,Cu2+ + 2 e- -> Cu,0.28,9.0,3.3,metal_plate,0.0,solid_metal,0.97,,,0.75,"cathode stripping, remelting/casting and refining charge for off-grade cathode",0.1,0.9,False,False,price: LME copper 2024-2025 $8.5-9.5/kg; GWP: primary copper 3-4 kg/kg
nickel,Nickel,solid,Ni,58.693,2,Ni2+ + 2 e- -> Ni,-0.32,16.0,12.0,metal_plate,0.0,solid_metal,0.97,,,0.75,as copper,0.35,0.6,False,False,price: LME nickel 2024-2025 $15-18/kg; GWP: class I nickel 10-14 kg/kg
zinc,Zinc,solid,Zn,65.38,2,Zn2+ + 2 e- -> Zn,-0.82,2.8,3.5,metal_plate,0.0,solid_metal,0.97,,,0.75,as copper,0.2,0.7,False,False,price: LME zinc 2024-2025 $2.6-3.0/kg; GWP: primary zinc 3-4 kg/kg
lead,Lead,solid,Pb,207.2,2,Pb2+ + 2 e- -> Pb,-0.19,2.1,1.7,metal_plate,0.0,solid_metal,0.97,,,0.5,as copper; lower melting energy,0.15,0.8,False,False,price: LME lead 2024-2025 $1.9-2.2/kg; GWP: primary lead 1.3-2.0 kg/kg
